,symbol,name,abbreviation,ts_code,area,industry,list_date
3810,300331,苏大维格,sdwg,300331.SZ,江苏,元器件,20120628
3811,600458,时代新材,sdxc,600458.SH,湖南,塑料,20021219
3812,300881,盛德鑫泰,sdxt,300881.SZ,江苏,钢加工,20200901
3813,600529,山东药玻,sdyb,600529.SH,山东,医疗保健,20020603
3814,300540,蜀道装备,sdzb,300540.SZ,四川,专用机械,20160823
3815,002598,山东章鼓,sdzg,002598.SZ,山东,机械基件,20110707
3816,399234,水电指数,sdzs,,,,
3817,300846,首都在线,sdzx,300846.SZ,北京,软件服务,20200701
3818,000603,盛达资源,sdzy,000603.SZ,北京,铅锌,19960823
3819,688480,赛恩斯,ses,688480.SH,湖南,环境保护,20221125
3820,002538,司尔特,set,002538.SZ,安徽,农药化肥,20110118
3821,300179,四方达,sfd,300179.SZ,河南,矿物制品,20110215
3822,605336,帅丰电器,sfdq,605336.SH,浙江,家用电器,20201019
3823,688665,四方光电,sfgd,688665.SH,湖北,电器仪表,20210209
3824,603268,松发股份,sfgf,603268.SH,广东,家居用品,20150319
3825,601126,四方股份,sfgf,601126.SH,北京,电气设备,20101231
3826,300817,双飞股份,sfgf,300817.SZ,浙江,机械基件,20200218
3827,603938,三孚股份,sfgf,603938.SH,河北,化工原料,20170628
3828,601827,三峰环境,sfhj,601827.SH,重庆,环境保护,20200605
3829,002780,三夫户外,sfhw,002780.SZ,北京,服饰,20151209
3830,000631,顺发恒业,sfhy,000631.SZ,浙江,区域地产,19961122
3831,300468,四方精创,sfjc,300468.SZ,深圳,软件服务,20150527
3832,002352,顺丰控股,sfkg,002352.SZ,深圳,仓储物流,20100205
3833,603339,四方科技,sfkj,603339.SH,江苏,专用机械,20160519
3834,603318,水发燃气,sfrq,603318.SH,辽宁,供气供热,20150424
3835,000672,上峰水泥,sfsn,000672.SZ,甘肃,水泥,19961218
3836,603028,赛福天,sft,603028.SH,江苏,钢加工,20160331
3837,002862,实丰文化,sfwh,002862.SZ,广东,文教休闲,20170411
3838,600370,三房巷,sfx,600370.SH,江苏,化工原料,20030306
3839,605122,四方新材,sfxc,605122.SH,重庆,水泥,20210310
3840,688359,三孚新科,sfxk,688359.SH,广东,化工原料,20210521
3841,002572,索菲亚,sfy,002572.SZ,广东,家居用品,20110412
3842,399671,深防御50,sfy50,,,,
3843,000045,深纺织A,sfza,000045.SZ,深圳,元器件,19940815
3844,300276,三丰智能,sfzn,300276.SZ,湖北,专用机械,20111115
3845,601369,陕鼓动力,sgdl,601369.SH,陕西,机械基件,20100428
3846,000959,首钢股份,sggf,000959.SZ,北京,普钢,19991216
3847,688233,神工股份,sggf,688233.SH,辽宁,化工原料,20200221
3848,002075,沙钢股份,sggf,002075.SZ,江苏,特种钢,20061025
3849,sh.000151,上国红利,sghl,,,,
3850,000803,山高环能,sghn,000803.SZ,四川,环境保护,19980303
3851,002400,省广集团,sgjt,002400.SZ,广东,广告包装,20100506
3852,600018,上港集团,sgjt,600018.SH,上海,港口,20061026
3853,002110,三钢闽光,sgmg,002110.SZ,福建,普钢,20070126
3854,600548,深高速,sgs,600548.SH,深圳,路桥,20011225
3855,600843,上工申贝,sgsb,600843.SH,上海,纺织机械,19940311
3856,872808,曙光数创,sgsc,872808.BJ,,,20221118
3857,399302,深公司债,sgsz,,,,
3858,BK0804,深股通,sgt,,,,
3859,000563,陕国投A,sgta,000563.SZ,陕西,多元金融,19940110
3860,301062,上海艾录,shal,301062.SZ,上海,广告包装,20210914
3861,BK0145,上海板块,shbk,,,,
3862,600171,上海贝岭,shbl,600171.SH,上海,半导体,19980924
3863,002472,双环传动,shcd,002472.SZ,浙江,汽车配件,20100910
3864,600021,上海电力,shdl,600021.SH,上海,火力发电,20031029
3865,002857,三晖电气,shdq,002857.SZ,河南,电器仪表,20170323
3866,601727,上海电气,shdq,601727.SH,上海,电气设备,20081205
3867,601595,上海电影,shdy,601595.SH,上海,影视音像,20160817
3868,000020,深华发A,shfa,000020.SZ,深圳,元器件,19920428
3869,600679,上海凤凰,shfh,600679.SH,上海,文教休闲,19931008
3870,300852,四会富仕,shfs,300852.SZ,广东,元器件,20200713
3871,000895,双汇发展,shfz,000895.SZ,河南,食品,19981210
3872,301056,森赫股份,shgf,301056.SZ,浙江,运输设备,20210907
3873,000933,神火股份,shgf,000933.SZ,河南,铝,19990831
3874,001205,盛航股份,shgf,001205.SZ,江苏,水运,20210513
3875,000014,沙河股份,shgf,000014.SZ,深圳,全国地产,19920602
3876,300693,盛弘股份,shgf,300693.SZ,深圳,电气设备,20170822
3877,002565,顺灏股份,shgf,002565.SZ,上海,造纸,20110318
3878,002665,首航高科,shgk,002665.SZ,甘肃,电气设备,20120327
3879,300226,上海钢联,shgl,300226.SZ,上海,互联网,20110608
3880,605598,上海港湾,shgw,605598.SH,上海,建筑工程,20210917
3881,003037,三和管桩,shgz,003037.SZ,广东,水泥,20210204
3882,603131,上海沪工,shhg,603131.SH,上海,专用机械,20160607
3883,601200,上海环境,shhj,601200.SH,上海,环境保护,20170331
3884,300762,上海瀚讯,shhx,300762.SZ,上海,通信设备,20190314
3885,600838,上海九百,shjb,600838.SH,上海,百货,19940224
3886,600009,上海机场,shjc,600009.SH,上海,机场,19980218
3887,603163,圣晖集成,shjc,603163.SH,江苏,建筑工程,20221013
3888,600835,上海机电,shjd,600835.SH,上海,运输设备,19940224
3889,600170,上海建工,shjg,600170.SH,上海,建筑工程,19980623
3890,600315,上海家化,shjh,600315.SH,上海,日用化工,20010315
3891,603153,上海建科,shjk,603153.SH,上海,建筑工程,20230313
3892,300408,三环集团,shjt,300408.SZ,广东,元器件,20141203
3893,000852,石化机械,shjx,000852.SZ,湖北,化工机械,19981126
3894,300039,上海凯宝,shkb,300039.SZ,上海,中成药,20100108
3895,600653,申华控股,shkg,600653.SH,辽宁,汽车服务,19901219
3896,300476,胜宏科技,shkj,300476.SZ,广东,元器件,20150611
3897,000707,双环科技,shkj,000707.SZ,湖北,化工原料,19970415
3898,300423,昇辉科技,shkj,300423.SZ,山东,电气设备,20150217
3899,300853,申昊科技,shkj,300853.SZ,浙江,专用机械,20200724
3900,688093,世华科技,shkj,688093.SH,江苏,化工原料,20200930
3901,300899,上海凯鑫,shkx,300899.SZ,上海,环境保护,20201016
3902,399672,深红利50,shl50,,,,
3903,399677,深A软件与互联网等权指数,shlew,,,,
3904,600848,上海临港,shlg,600848.SH,上海,园区开发,19940324
3905,002252,上海莱士,shls,002252.SZ,上海,生物制药,20080623
3906,399675,深A软件与互联网指数,shlw,,,,
3907,600073,上海梅林,shml,600073.SH,上海,食品,19970704
3908,600508,上海能源,shny,600508.SH,上海,煤炭开采,20010829
3909,300483,首华燃气,shrq,300483.SZ,上海,石油开采,20150630
3910,600688,上海石化,shsh,600688.SH,上海,石油加工,19931108
3911,600689,上海三毛,shsm,600689.SH,上海,纺织,19931108
3912,000518,四环生物,shsw,000518.SZ,江苏,生物制药,19930908
3913,605299,舒华体育,shty,605299.SH,福建,文教休闲,20201215
